Scheme Code;Scheme Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date
Baroda BNP Paribas Mutual Fund
148474;Baroda BNP Paribas Large and Mid Cap fund;Direct Plan;Growth Option;INF955L01JU2;;30.4182;19-Aug-2026
148475;Baroda BNP Paribas Large and Mid Cap fund;Direct Plan;IDCW Option;INF955L01JV0;INF955L01JW8;21.3306;19-Aug-2026
148471;Baroda BNP Paribas Large and Mid Cap fund;Regular Plan;Growth Option;INF955L01JR8;;27.9264;19-Aug-2026
148472;Baroda BNP Paribas Large and Mid Cap fund;Regular Plan;IDCW Option;INF955L01JS6;INF955L01JT4;18.4184;19-Aug-2026

Canara Robeco Mutual Fund
118278;Canara Robeco Large and Mid Cap Fund;Direct Plan;GROWTH OPTION;INF760K01EI4;;301.6400;19-Aug-2026
118277;Canara Robeco Large and Mid Cap Fund;Direct Plan;IDCW (Payout/Reinvestment);INF760K01EG8;INF760K01EH6;130.1700;19-Aug-2026
102920;Canara Robeco Large and Mid Cap Fund;Regular Plan;GROWTH OPTION;INF760K01167;;260.5200;19-Aug-2026
102921;Canara Robeco Large and Mid Cap Fund;Regular Plan;IDCW (Payout/Reinvestment);INF760K01175;INF760K01183;84.6200;19-Aug-2026

DSP Mutual Fund
119218;DSP Large & Mid Cap Fund;Direct Plan;Growth;INF740K01PL6;;703.5220;19-Aug-2026
119219;DSP Large & Mid Cap Fund;Direct Plan;IDCW;INF740K01PM4;INF740K01PN2;104.9290;19-Aug-2026
103819;DSP Large & Mid Cap Fund;Regular Plan;Growth;INF740K01094;;622.6330;19-Aug-2026
103820;DSP Large & Mid Cap Fund;Regular Plan;IDCW;INF740K01078;INF740K01086;36.4360;19-Aug-2026

ICICI Prudential Mutual Fund
120596;ICICI Prudential Large & Mid Cap Fund;Direct Plan;Growth;INF109K011O5;;1190.17;19-Aug-2026
120597;ICICI Prudential Large & Mid Cap Fund;Direct Plan;IDCW;INF109K019N0;INF109K010O7;55.60;19-Aug-2026
100349;ICICI Prudential Large & Mid Cap Fund;Regular Plan;Growth;INF109K01431;;1055.66;19-Aug-2026
100348;ICICI Prudential Large & Mid Cap Fund;Regular Plan;IDCW;INF109K01EQ7;INF109K01449;30.98;19-Aug-2026

ITI Mutual Fund
152821;ITI Large & Mid Cap Fund;Direct Plan;Growth Option;INF00XX01DA4;;10.2787;19-Aug-2026
152823;ITI Large & Mid Cap Fund;Direct Plan;IDCW Option;INF00XX01DB2;INF00XX01DC0;10.2787;19-Aug-2026
152824;ITI Large & Mid Cap Fund;Regular Plan;Growth Option;INF00XX01CX8;;9.9494;19-Aug-2026
152822;ITI Large & Mid Cap Fund;Regular Plan;IDCW Option;INF00XX01CY6;INF00XX01CZ3;9.9494;19-Aug-2026

JM Financial Mutual Fund
153629;JM Large & Mid Cap Fund;Direct Plan;Growth Option;INF192K01NK7;;10.9557;19-Aug-2026
153630;JM Large & Mid Cap Fund;Direct Plan;IDCW Option;INF192K01NP6;INF192K01NL5;10.9557;19-Aug-2026
153627;JM Large & Mid Cap Fund;Regular Plan;Growth Option;INF192K01NM3;;10.7572;19-Aug-2026
153628;JM Large & Mid Cap Fund;Regular Plan;IDCW Option;INF192K01NO9;INF192K01NN1;10.7572;19-Aug-2026

Kotak Mahindra Mutual Fund
120158;Kotak Large & Midcap Fund;Direct Plan;Growth;INF174K01LF9;;412.166;19-Aug-2026
103234;Kotak Large & Midcap Fund;Regular Plan;Growth;INF174K01187;;355.072;19-Aug-2026
120157;Kotak Large & Midcap Fund;Direct Plan;IDCW;INF174K01LG7;INF174K01LH5;72.73;19-Aug-2026
103233;Kotak Large & Midcap Fund;Regular Plan;IDCW;INF174K01203;INF174K01195;61.947;19-Aug-2026

LIC Mutual Fund
133710;LIC MF Large & Mid Cap Fund;Direct Plan;Growth;INF767K01NE9;;46.0956;19-Aug-2026
133709;LIC MF Large & Mid Cap Fund;Direct Plan;IDCW;INF767K01ND1;INF767K01NF6;36.571;19-Aug-2026
133711;LIC MF Large & Mid Cap Fund;Regular Plan;Growth;INF767K01NB5;;39.5094;19-Aug-2026
133712;LIC MF Large & Mid Cap Fund;Regular Plan;IDCW;INF767K01NA7;INF767K01NC3;31.9888;19-Aug-2026

Mahindra Manulife Mutual Fund
147841;Mahindra Manulife Large & Mid Cap Fund;Direct Plan;IDCW;INF174V01960;INF174V01952;22.9064;19-Aug-2026
147840;Mahindra Manulife Large & Mid Cap Fund;Direct Plan;Growth;INF174V01945;;31.6239;19-Aug-2026
147843;Mahindra Manulife Large & Mid Cap Fund;Regular Plan;Growth;INF174V01911;;28.2548;19-Aug-2026
147842;Mahindra Manulife Large & Mid Cap Fund;Regular Plan;IDCW;INF174V01937;INF174V01929;19.8912;19-Aug-2026

Navi Mutual Fund
141414;Navi Large & Midcap Fund;Direct Plan;Annual IDCW Payout;INF959L01CR5;INF959L01CS3;44.5579;19-Aug-2026
141415;Navi Large & Midcap Fund;Direct Plan;Half Yearly IDCW Payout;INF959L01CP9;INF959L01CQ7;44.5972;19-Aug-2026
135679;Navi Large & Midcap Fund;Direct Plan;IDCW Payout;INF959L01CI4;INF959L01CJ2;44.7112;19-Aug-2026
141411;Navi Large & Midcap Fund;Regular Plan;Annual IDCW payout;INF959L01CV7;INF959L01CW5;38.1697;19-Aug-2026
141410;Navi Large & Midcap Fund;Regular Plan;Half Yearly IDCW Payout	;INF959L01CT1;INF959L01CU9;37.1213;19-Aug-2026
135680;Navi Large & Midcap Fund;Regular Plan;Normal IDCW Payout;INF959L01CL8;INF959L01CM6;37.1076;19-Aug-2026
135677;Navi Large & Midcap Fund;Direct Plan;Growth;INF959L01CH6;;45.257;19-Aug-2026
135678;Navi Large & Midcap Fund;Regular Plan;Growth;INF959L01CK0;;37.112;19-Aug-2026

PGIM India Mutual Fund
152382;PGIM India Large and Midcap Fund;Direct Plan;Direct Growth;INF663L01Y12;;13.42;19-Aug-2026
152384;PGIM India Large and Midcap Fund;Direct Plan;Direct IDCW;INF663L01Y20;INF663L01Y38;12.17;19-Aug-2026
152383;PGIM India Large and Midcap Fund;Regular Plan;Regular Growth;INF663L01X88;;12.85;19-Aug-2026
